Type,Name,Filefound,Filename,Q1: What do they say about climate change,Q1: relevance,Q2: What do they say about threats or pressures related to climate change,Q2: relevance,"Q3: How does Climate Change impact species, habitats and ecosystems?",Q3: relevance,Q4: What do they say about gaps in relation to climate change,Q4: relevance,"Q5: What do they recommend in relation to climate change, including issues that require further investigation and/or research?",Q5: relevance,Q6: What do they say about ocean acidification,Q6: relevance,"Q7: How does Ocean Acidification impact species, habitats and ecosystems?",Q7: relevance,climate_change_hits,ocean_acidification_hits,total_keyword_hits
Thematic assessment,Fish,OK,p00956_qsr2023_fish_ta.pdf,,,,,,,,,,,,,,,,,
All other assessments,Agriculture,ok,Agriculture.pdf,,,,,,,,,,,,,,,,,
All other assessments,Allis shad,No medata/ pdf,Allis shad.pdf,,,,,,,,,,,,,,,,,
All other assessments,Angel shark,No medata/ pdf,Angel shark.pdf,,,,,,,,,,,,,,,,,
All other assessments,Aquaculture,No medata/ pdf,Aquaculture.pdf,,,,,,,,,,,,,,,,,
All other assessments,Atlantic salmon,No medata/ pdf,Atlantic salmon.pdf,,,,,,,,,,,,,,,,,
All other assessments,Balearic shearwater,No medata/ pdf,Balearic shearwater.pdf,,,,,,,,,,,,,,,,,
All other assessments,Basking shark,No medata/ pdf,Basking shark.pdf,,,,,,,,,,,,,,,,,
All other assessments,Black-legged kittiwake,No medata/ pdf,Black-legged kittiwake.pdf,,,,,,,,,,,,,,,,,
All other assessments,Blue whale,No medata/ pdf,Blue whale.pdf,,,,,,,,,,,,,,,,,
All other assessments,Bowhead whale,No medata/ pdf,Bowhead whale.pdf,,,,,,,,,,,,,,,,,
All other assessments,Carbonate mounds,No medata/ pdf,Carbonate mounds.pdf,,,,,,,,,,,,,,,,,
All other assessments,Common skate,No medata/ pdf,Common skate.pdf,,,,,,,,,,,,,,,,,
All other assessments,Coral gardens,No medata/ pdf,Coral gardens.pdf,,,,,,,,,,,,,,,,,
All other assessments,Deep-sea sponge aggregations,No medata/ pdf,Deep-sea sponge aggregations.pdf,,,,,,,,,,,,,,,,,
All other assessments,European or Common sturgeon,No medata/ pdf,European or Common sturgeon.pdf,,,,,,,,,,,,,,,,,
All other assessments,EUropean eel,No medata/ pdf,European eel.pdf,,,,,,,,,,,,,,,,,
All other assessments,European flat oyster and ostrea edulis beds,No medata/ pdf,European flat oyster and ostrea edulis beds.pdf,,,,,,,,,,,,,,,,,
All other assessments,Extraction of non-living resources,No medata/ pdf,Extraction of non-living resources.pdf,Feeder report,,,,,,,,,,,,,,,,
All other assessments,Fisheries,No medata/ pdf,Fisheries.pdf,Feeder report,,,,,,,,,,,,,,,,
All other assessments,Gulper shark,No medata/ pdf,Gulper shark.pdf,,,,,,,,,,,,,,,,,
All other assessments,Iberian guillemot,No medata/ pdf,Iberian guillemot.pdf,,,,,,,,,,,,,,,,,
All other assessments,Intertidal mudflats,No medata/ pdf,Intertidal mudflats.pdf,,,,,,,,,,,,,,,,,
All other assessments,Intertidal Mytilus edulis bed,No medata/ pdf,Intertidal Mytilus edulis bed.pdf,,,,,,,,,,,,,,,,,
All other assessments,Leafscale gulper shark,No medata/ pdf,Leafscale gulper shark.pdf,,,,,,,,,,,,,,,,,
All other assessments,Leatherback turtle,No medata/ pdf,Leatherback turtle.pdf,,,,,,,,,,,,,,,,,
All other assessments,Lesser black-backed gull,No medata/ pdf,Lesser black-backed gull.pdf,,,,,,,,,,,,,,,,,
All other assessments,Loggerhead turtle,No medata/ pdf,Loggerhead turtle.pdf,,,,,,,,,,,,,,,,,
All other assessments,Lophelia pertusa reefs,No medata/ pdf,Lophelia pertusa reefs.pdf,,,,,,,,,,,,,,,,,
All other assessments,Maerl beds,No medata/ pdf,Maerl beds.pdf,,,,,,,,,,,,,,,,,
All other assessments,Oceanic Ridges with hydrothermal vents,No medata/ pdf,Oceanic-Ridges-with-hydrothermal-vents-06-03-2025_08_20.pdf,,,,,,,,,,,,,,,,,
All other assessments,Offshore renewable energy generation,No medata/ pdf,Offshore renewable energy generation.pdf,Feeder report,,,,,,,,,,,,,,,,
All other assessments,Portbeagle,No medata/ pdf,Portbeagle.pdf,,,,,,,,,,,,,,,,,
All other assessments,Portuguese dogfish,No medata/ pdf,Portuguese dogfish.pdf,,,,,,,,,,,,,,,,,
All other assessments,Production and consumption of plastics,No medata/ pdf,Production and consumption of plastics.pdf,Feeder report,,,,,,,,,,,,,,,,
All other assessments,p00919_5pe_5th_evaluation_OSPAR_radioactive_susbtance_strategy,No medata/ pdf,p00919_5pe_5th_evaluation_OSPAR_radioactive_susbtance_strategy.pdf,,,,,,,,,,,,,,,,,
All other assessments,Right whale,No medata/ pdf,Right whale.pdf,,,,,,,,,,,,,,,,,
All other assessments,Sea lamprey,No medata/ pdf,Sea lamprey.pdf,,,,,,,,,,,,,,,,,
All other assessments,Seamounts,No medata/ pdf,Seamounts.pdf,,,,,,,,,,,,,,,,,
All other assessments,Sea-pen and burrowing megafauna communities,No medata/ pdf,Sea-pen and burrowing megafauna communities.pdf,,,,,,,,,,,,,,,,,
All other assessments,Shipping and ports,No medata/ pdf,Shipping and ports.pdf,Feeder report,,,,,,,,,,,,,,,,
All other assessments,Spotted ray,No medata/ pdf,Spotted ray.pdf,,,,,,,,,,,,,,,,,
All other assessments,Spurdog,No medata/ pdf,Spurdog.pdf,,,,,,,,,,,,,,,,,
All other assessments,Status of the OSPAR network of MPAs in 2021,OK,p00876_mpa_status_report_assessment_2021_vers002.pdf,,,,,,,,,,,,,,,,,
All other assessments,Thick-billed murre,No medata/ pdf,Thick-billed murre.pdf,,,,,,,,,,,,,,,,,
All other assessments,Thornback ray,No medata/ pdf,Thornback ray.pdf,,,,,,,,,,,,,,,,,
All other assessments,Waste water,No medata/ pdf,Waste water.pdf,Feeder report,,,,,,,,,,,,,,,,
All other assessments,White skate,No medata/ pdf,White skate.pdf,,,,,,,,,,,,,,,,,
All other assessments,Zostera beds,No medata/ pdf,Zostera beds.pdf,,,,,,,,,,,,,,,,,
All indicator assessments,Changes in average trophic level of marine consumers,OK,p00940_fw4_average_trophic_level_marine_consumers_qsr2023.pdf,,,,,,,,,,,,,,,,,
All indicator assessments,Changes in phytoplankton and zooplankton communities,OK,p00941_ph1fw5_phytoplankton_zooplankton_communities_qsr2023.pdf,,,,,,,,,,,,,,,,,
All indicator assessments,Concentrations of dissolved oxygen near the seafloor,OK,p00929_dissolved_oxygen_qsr2023.pdf,,,,,,,,,,,,,,,,,